DC,ID,CONDITION,FREQUENCY,GENDERS,AROUSAL,VALENCE
0.00886031501700048,1,1,0.825,3,1.44444444444444,3.94444444444444
0.00852317301413898,1,1,0.85,3,1.44444444444444,3.94444444444444
0.00820487960198401,1,1,0.875,3,1.44444444444444,3.94444444444444
0.00790439726257513,1,1,0.9,3,1.44444444444444,3.94444444444444
0.00762071343339458,1,1,0.925,3,1.44444444444444,3.94444444444444
0.00735285021549549,1,1,0.95,3,1.44444444444444,3.94444444444444
0.00709987071677364,1,1,0.975,3,1.44444444444444,3.94444444444444
0.0068608828793636,1,1,1,3,1.44444444444444,3.94444444444444
0.00663504144216474,1,1,1.025,3,1.44444444444444,3.94444444444444
0.00642154853653099,1,1,1.05,3,1.44444444444444,3.94444444444444
0.00621965329508711,1,1,1.075,3,1.44444444444444,3.94444444444444
0.00602865076259158,1,1,1.1,3,1.44444444444444,3.94444444444444
0.0058478803276338,1,1,1.125,3,1.44444444444444,3.94444444444444
0.00567672383999091,1,1,1.15,3,1.44444444444444,3.94444444444444
0.00551460353700233,1,1,1.175,3,1.44444444444444,3.94444444444444
0.00536097987050516,1,1,1.2,3,1.44444444444444,3.94444444444444
0.00521534930151487,1,1,1.225,3,1.44444444444444,3.94444444444444
0.00507724211122952,1,1,1.25,3,1.44444444444444,3.94444444444444
0.00494622026277168,1,1,1.275,3,1.44444444444444,3.94444444444444
0.00482187533734083,1,1,1.3,3,1.44444444444444,3.94444444444444
0.00470382656034623,1,1,1.325,3,1.44444444444444,3.94444444444444
0.00459171892701775,1,1,1.35,3,1.44444444444444,3.94444444444444
0.00448522143247985,1,1,1.375,3,1.44444444444444,3.94444444444444
0.00438402540795824,1,1,1.4,3,1.44444444444444,3.94444444444444
0.0042878429623891,1,1,1.425,3,1.44444444444444,3.94444444444444
0.00419640552699909,1,1,1.45,3,1.44444444444444,3.94444444444444
0.00410946249925326,1,1,1.475,3,1.44444444444444,3.94444444444444
0.00402677998179797,1,1,1.5,3,1.44444444444444,3.94444444444444
