ID,FREQUENCY,DC,CONDITION,AROUSAL,VALENCE,GENDERS
1,0,0.572896998230546,1,1.44444444444444,3.94444444444444,3
1,0.02,0.562961299965412,1,1.44444444444444,3.94444444444444,3
1,0.04,0.531314460567819,1,1.44444444444444,3.94444444444444,3
1,0.06,0.475108536591925,1,1.44444444444444,3.94444444444444,3
1,0.08,0.396753934250811,1,1.44444444444444,3.94444444444444,3
1,0.1,0.307538573779875,1,1.44444444444444,3.94444444444444,3
1,0.12,0.222775382121441,1,1.44444444444444,3.94444444444444,3
1,0.14,0.153192943654453,1,1.44444444444444,3.94444444444444,3
1,0.16,0.101720832490634,1,1.44444444444444,3.94444444444444,3
1,0.18,0.0660984623749422,1,1.44444444444444,3.94444444444444,3
1,0.2,0.0424034817817573,1,1.44444444444444,3.94444444444444,3
1,0.22,0.0270127863539607,1,1.44444444444444,3.94444444444444,3
1,0.24,0.0172008736313405,1,1.44444444444444,3.94444444444444,3
1,0.26,0.0111546572770059,1,1.44444444444444,3.94444444444444,3
1,0.28,0.00798371160881738,1,1.44444444444444,3.94444444444444,3
1,0.3,0.00828811111871936,1,1.44444444444444,3.94444444444444,3
1,0.32,0.0141529387989404,1,1.44444444444444,3.94444444444444,3
1,0.34,0.020009603857251,1,1.44444444444444,3.94444444444444,3
1,0.36,0.020429746305354,1,1.44444444444444,3.94444444444444,3
1,0.38,0.0199644802896095,1,1.44444444444444,3.94444444444444,3
1,0.4,0.0203060640371963,1,1.44444444444444,3.94444444444444,3
1,0.42,0.0214803966030245,1,1.44444444444444,3.94444444444444,3
1,0.44,0.0233526872561858,1,1.44444444444444,3.94444444444444,3
1,0.46,0.0258496068491193,1,1.44444444444444,3.94444444444444,3
1,0.48,0.028962034166767,1,1.44444444444444,3.94444444444444,3
1,0.5,0.0327289517491741,1,1.44444444444444,3.94444444444444,3
1,0.52,0.037223151729837,1,1.44444444444444,3.94444444444444,3
1,0.54,0.0425328981506671,1,1.44444444444444,3.94444444444444,3
1,0.56,0.0487242678044351,1,1.44444444444444,3.94444444444444,3
1,0.58,0.0557533545217408,1,1.44444444444444,3.94444444444444,3
1,0.6,0.0632710165751101,1,1.44444444444444,3.94444444444444,3
1,0.62,0.0702508534890157,1,1.44444444444444,3.94444444444444,3
1,0.64,0.0745274973684844,1,1.44444444444444,3.94444444444444,3
1,0.66,0.0730288171222871,1,1.44444444444444,3.94444444444444,3
1,0.68,0.0642716585526587,1,1.44444444444444,3.94444444444444,3
1,0.7,0.0518786841498787,1,1.44444444444444,3.94444444444444,3
1,0.72,0.0428945376437269,1,1.44444444444444,3.94444444444444,3
1,0.74,0.041909293929635,1,1.44444444444444,3.94444444444444,3
1,0.76,0.0493744232905621,1,1.44444444444444,3.94444444444444,3
1,0.78,0.0634796757920307,1,1.44444444444444,3.94444444444444,3
1,0.8,0.0811908446742855,1,1.44444444444444,3.94444444444444,3
1,0.82,0.0981823468727017,1,1.44444444444444,3.94444444444444,3
1,0.84,0.109507685029213,1,1.44444444444444,3.94444444444444,3
1,0.86,0.111890940313883,1,1.44444444444444,3.94444444444444,3
1,0.88,0.105674046131882,1,1.44444444444444,3.94444444444444,3
1,0.9,0.094010305437909,1,1.44444444444444,3.94444444444444,3
1,0.92,0.0804248156281285,1,1.44444444444444,3.94444444444444,3
1,0.94,0.0672876196441126,1,1.44444444444444,3.94444444444444,3
1,0.96,0.0556948724854124,1,1.44444444444444,3.94444444444444,3
1,0.98,0.0459250063822029,1,1.44444444444444,3.94444444444444,3
1,1,0.0378663568939264,1,1.44444444444444,3.94444444444444,3
1,1.02,0.0312705659433032,1,1.44444444444444,3.94444444444444,3
1,1.04,0.0258719678992833,1,1.44444444444444,3.94444444444444,3
1,1.06,0.0214335725244689,1,1.44444444444444,3.94444444444444,3
1,1.08,0.0177591753714151,1,1.44444444444444,3.94444444444444,3
1,1.1,0.01469192520523,1,1.44444444444444,3.94444444444444,3
1,1.12,0.012108598619027,1,1.44444444444444,3.94444444444444,3
1,1.14,0.00991342680187282,1,1.44444444444444,3.94444444444444,3
1,1.16,0.00803294802099052,1,1.44444444444444,3.94444444444444,3
1,1.18,0.00641247584404681,1,1.44444444444444,3.94444444444444,3
1,1.2,0.00501466697922373,1,1.44444444444444,3.94444444444444,3
1,1.22,0.00382117453145882,1,1.44444444444444,3.94444444444444,3
1,1.24,0.00283982793897971,1,1.44444444444444,3.94444444444444,3
1,1.26,0.00212351099281761,1,1.44444444444444,3.94444444444444,3
1,1.28,0.00181693077334144,1,1.44444444444444,3.94444444444444,3
1,1.3,0.00227603860121619,1,1.44444444444444,3.94444444444444,3
1,1.32,0.00438745818186431,1,1.44444444444444,3.94444444444444,3
1,1.34,0.0104035586713265,1,1.44444444444444,3.94444444444444,3
1,1.36,0.0251980602967072,1,1.44444444444444,3.94444444444444,3
1,1.38,0.049421359295627,1,1.44444444444444,3.94444444444444,3
1,1.4,0.0571340657562729,1,1.44444444444444,3.94444444444444,3
1,1.42,0.0438961700584542,1,1.44444444444444,3.94444444444444,3
1,1.44,0.0309082648706751,1,1.44444444444444,3.94444444444444,3
1,1.46,0.0224190325136926,1,1.44444444444444,3.94444444444444,3
1,1.48,0.0170020554965733,1,1.44444444444444,3.94444444444444,3
1,1.5,0.0134033089365596,1,1.44444444444444,3.94444444444444,3
